dist,mode,threads,ds,PAPI_L1_DCM,PAPI_L2_TCM,PAPI_L3_TCM,PAPI_LD_INS,GETS,SUCC_GETS,FAIL_GETS,INS,SUCC_INS,FAIL_INS,UPD,SUCC_UPD,FAIL_UPD,REM,SUCC_REM,FAIL_REM,HEIGHT
uniform,r,1,aksenov_splaylist_64,0,,,,4553463,2277075,2276388,0,0,0,0,0,0,0,0,0,23
uniform,r,2c,aksenov_splaylist_64,0,,,,7960660,3979519,3981141,0,0,0,0,0,0,0,0,0,23
