filename,DS_TYPENAME,size_node,RECLAIM,ALLOC,POOL,MILLIS_TO_RUN,INS,DEL,RQ,RQSIZE,MAXKEY,PREFILL_THREADS,TOTAL_THREADS,WORK_THREADS,RQ_THREADS,INSERT_FUNC,threads_final_keysum,threads_final_size,final_keysum,final_size,validate_result,tree_stats_height,tree_stats_numInternals,tree_stats_numLeaves,tree_stats_numNodes,tree_stats_numKeys,tree_stats_avgDegreeInternal,tree_stats_avgDegreeLeaves,tree_stats_avgDegree,tree_stats_avgKeyDepth,total_find,total_rq,total_updates,total_queries,total_ops,find_throughput,rq_throughput,update_throughput,query_throughput,total_throughput,PAPI_L1_DCM,PAPI_L2_TCM,PAPI_L3_TCM,PAPI_TOT_CYC,PAPI_TOT_INS,maxresident_mb,prefill_elapsed_ms
scaling_threads/step10013.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,2000000,96,96,96,0,insertIfAbsent,999807374206,1000000,999807374206,1000000,success,25,571365,428636,1000001,1000000,1.7502,2.33298,2,19.3329,3402966249,0,0,3402966249,3402966249,113432208,0,0,113432208,113432208,,15.8051,2.09668,2330.67,,1146,251
scaling_threads/step10014.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,2000000,144,144,144,0,insertIfAbsent,999872715005,1000000,999872715005,1000000,success,25,571320,428681,1000001,1000000,1.75033,2.33274,2,19.2975,5058888053,0,0,5058888053,5058888053,168629601,0,0,168629601,168629601,,15.7431,2.11988,2315.7,,1156,413
scaling_threads/step10015.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,2000000,190,190,190,0,insertIfAbsent,999939632372,1000000,999939632372,1000000,success,25,571219,428782,1000001,1000000,1.75064,2.33219,2,19.3242,6692506650,0,0,6692506650,6692506650,223083555,0,0,223083555,223083555,,15.7615,2.13993,2309.65,,1166,291
scaling_threads/step10016.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,2000000,24,24,24,0,insertIfAbsent,999762491317,1000000,999762491317,1000000,success,50,999999,1000000,1999999,1000000,2,1,1.5,25.962,819477135,0,0,819477135,819477135,27315904,0,0,27315904,27315904,,11.7443,1.57068,2451.09,,1133,172
scaling_threads/step10017.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,2000000,48,48,48,0,insertIfAbsent,1000033354821,1000000,1000033354821,1000000,success,55,999999,1000000,1999999,1000000,2,1,1.5,26.7938,1475816278,0,0,1475816278,1475816278,49193875,0,0,49193875,49193875,,11.7612,1.55886,2721.03,,1139,210
scaling_threads/step10018.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,2000000,96,96,96,0,insertIfAbsent,999942655518,1000000,999942655518,1000000,success,53,999999,1000000,1999999,1000000,2,1,1.5,26.6864,3214778195,0,0,3214778195,3214778195,107159273,0,0,107159273,107159273,,11.8028,1.77908,2494.01,,1146,234
scaling_threads/step10019.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,2000000,144,144,144,0,insertIfAbsent,999588003989,1000000,999588003989,1000000,success,53,999999,1000000,1999999,1000000,2,1,1.5,26.9803,4903012858,0,0,4903012858,4903012858,163433761,0,0,163433761,163433761,,11.8442,1.79199,2453.4,,1157,278
scaling_threads/step10020.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,2000000,190,190,190,0,insertIfAbsent,1000346861901,1000000,1000346861901,1000000,success,51,999999,1000000,1999999,1000000,2,1,1.5,27.1459,6517758464,0,0,6517758464,6517758464,217258615,0,0,217258615,217258615,,11.7979,1.80249,2435.17,,1166,297
scaling_threads/step10021.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,24,24,24,0,insertIfAbsent,100008162667402,10000001,100008162667402,10000001,success,6,1625784,11442329,13068113,10000001,8.03804,0.873948,1.76522,4,1120636188,0,0,1120636188,1120636188,37354539,0,0,37354539,37354539,,15.4745,5.58653,1792.15,,1704,154
scaling_threads/step10022.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,48,48,48,0,insertIfAbsent,99995493637960,10000001,99995493637960,10000001,success,6,1625784,11442329,13068113,10000001,8.03804,0.873948,1.76522,4,1944672982,0,0,1944672982,1944672982,64822432,0,0,64822432,64822432,,15.2553,5.67467,2064.17,,1723,174
