filename,DS_TYPENAME,size_node,RECLAIM,ALLOC,POOL,MILLIS_TO_RUN,INS,DEL,RQ,RQSIZE,MAXKEY,PREFILL_THREADS,TOTAL_THREADS,WORK_THREADS,RQ_THREADS,INSERT_FUNC,tree_stats_height,tree_stats_numInternals,tree_stats_numLeaves,tree_stats_numNodes,tree_stats_numKeys,tree_stats_avgDegreeInternal,tree_stats_avgDegreeLeaves,tree_stats_avgDegree,tree_stats_avgKeyDepth,final_keysum,total_find,total_rq,total_updates,total_queries,total_ops,find_throughput,rq_throughput,update_throughput,query_throughput,total_throughput,PAPI_L1_DCM,PAPI_L2_TCM,PAPI_L3_TCM,PAPI_TOT_CYC,PAPI_TOT_INS
data/step10017.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,2000000,20,20,20,0,insertIfAbsent,50,999999,1000000,1999999,1000000,2,1,1.5,26.6912,1000319716788,282244477,0,0,282244477,282244477,17640279,0,0,17640279,17640279,,,,,
data/step10018.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,2000000,40,40,40,0,insertIfAbsent,53,999999,1000000,1999999,1000000,2,1,1.5,26.1914,1000123463907,562306291,0,0,562306291,562306291,35144143,0,0,35144143,35144143,,,,,
data/step10019.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,10,10,10,0,insertIfAbsent,6,1625784,11442329,13068113,10000001,8.03804,0.873948,1.76522,4,100002409997669,272400525,0,0,272400525,272400525,17025032,0,0,17025032,17025032,,,,,
data/step10020.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,20,20,20,0,insertIfAbsent,6,1625784,11442329,13068113,10000001,8.03804,0.873948,1.76522,4,99991820159849,481768856,0,0,481768856,481768856,30110553,0,0,30110553,30110553,,,,,
data/step10021.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,40,40,40,0,insertIfAbsent,6,1625784,11442329,13068113,10000001,8.03804,0.873948,1.76522,4,100002544304445,964822312,0,0,964822312,964822312,60301394,0,0,60301394,60301394,,,,,
data/step10022.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,10,10,10,0,insertIfAbsent,9,185312,1275763,1461075,10000000,7.88441,7.83845,7.84428,8,100006130891763,220750030,0,0,220750030,220750030,13796876,0,0,13796876,13796876,,,,,
data/step10023.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,20,20,20,0,insertIfAbsent,9,185413,1275511,1460924,10000000,7.8793,7.84,7.84498,8,100006495621224,409877439,0,0,409877439,409877439,25617339,0,0,25617339,25617339,,,,,
data/step10024.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,40,40,40,0,insertIfAbsent,9,185376,1275477,1460853,10000000,7.88049,7.8402,7.84532,8,100004882064429,761817523,0,0,761817523,761817523,47613595,0,0,47613595,47613595,,,,,
data/step10025.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,10,10,10,0,insertIfAbsent,29,5714116,4285885,10000001,10000000,1.75005,2.33324,2,22.7082,100007956661146,101878059,0,0,101878059,101878059,6367378,0,0,6367378,6367378,,,,,
data/step10026.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,20,20,20,0,insertIfAbsent,29,5714217,4285784,10000001,10000000,1.75002,2.3333,2,22.6869,99997614674135,190222404,0,0,190222404,190222404,11888900,0,0,11888900,11888900,,,,,
data/step10027.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,40,40,40,0,insertIfAbsent,29,5714288,4285713,10000001,10000000,1.75,2.33333,2,22.6717,100017058789604,364218724,0,0,364218724,364218724,22763670,0,0,22763670,22763670,,,,,
data/step10028.txt,ellen_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,10,10,10,0,insertIfAbsent,60,10000001,10000002,20000003,10000000,2,1,1.5,32.8865,100001726968486,72631645,0,0,72631645,72631645,4539477,0,0,4539477,4539477,,,,,
data/step10029.txt,ellen_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,20,20,20,0,insertIfAbsent,64,10000001,10000002,20000003,10000000,2,1,1.5,33.4683,100002735625113,136587493,0,0,136587493,136587493,8536718,0,0,8536718,8536718,,,,,
data/step10030.txt,ellen_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,40,40,40,0,insertIfAbsent,61,10000001,10000002,20000003,10000000,2,1,1.5,32.9371,100010103950640,256131754,0,0,256131754,256131754,16008234,0,0,16008234,16008234,,,,,
data/step10031.txt,guerraoui_ext_bst_ticket,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,10,10,10,0,insertIfAbsent,61,10000000,10000001,20000001,10000000,2,1,1.5,31.8036,99985542980428,74196886,0,0,74196886,74196886,4637305,0,0,4637305,4637305,,,,,
data/step10032.txt,guerraoui_ext_bst_ticket,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,20,20,20,0,insertIfAbsent,59,10000000,10000001,20000001,10000000,2,1,1.5,31.3978,99996769149801,139716060,0,0,139716060,139716060,8732253,0,0,8732253,8732253,,,,,
data/step10033.txt,guerraoui_ext_bst_ticket,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,40,40,40,0,insertIfAbsent,60,10000000,10000001,20000001,10000000,2,1,1.5,30.9485,100017750399952,266123730,0,0,266123730,266123730,16632733,0,0,16632733,16632733,,,,,
data/step10034.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,10,10,10,0,insertIfAbsent,61,9999999,10000000,19999999,10000000,2,1,1.5,32.0331,99977879670891,82554055,0,0,82554055,82554055,5159628,0,0,5159628,5159628,,,,,
data/step10035.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,20,20,20,0,insertIfAbsent,60,9999999,10000000,19999999,10000000,2,1,1.5,31.381,100006407284512,158487123,0,0,158487123,158487123,9905445,0,0,9905445,9905445,,,,,
data/step10036.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,20000000,40,40,40,0,insertIfAbsent,62,9999999,10000000,19999999,10000000,2,1,1.5,32.4019,99982013086922,305060418,0,0,305060418,305060418,19066276,0,0,19066276,19066276,,,,,
data/step10037.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,200000000,10,10,10,0,insertIfAbsent,6,11011103,110001001,121012104,100000001,10.99,0.909083,1.82636,4,10000184899221434,197705265,0,0,197705265,197705265,12356579,0,0,12356579,12356579,,,,,
data/step10038.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,200000000,20,20,20,0,insertIfAbsent,6,11011103,110001001,121012104,100000001,10.99,0.909083,1.82636,4,9999793882847460,360537144,0,0,360537144,360537144,22533571,0,0,22533571,22533571,,,,,
data/step10039.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,200000000,40,40,40,0,insertIfAbsent,6,11011103,110001001,121012104,100000001,10.99,0.909083,1.82636,4,9999761147323337,675477175,0,0,675477175,675477175,42217323,0,0,42217323,42217323,,,,,
data/step10040.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,200000000,10,10,10,0,insertIfAbsent,10,1854288,12758215,14612503,100000000,7.88038,7.83809,7.84345,9,9999906525642857,144089666,0,0,144089666,144089666,9005604,0,0,9005604,9005604,,,,,
data/step10041.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,200000000,20,20,20,0,insertIfAbsent,10,1853550,12757708,14611258,100000000,7.88285,7.8384,7.84404,9,9999947600004709,274712849,0,0,274712849,274712849,17169553,0,0,17169553,17169553,,,,,
data/step10042.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,200000000,40,40,40,0,insertIfAbsent,10,1853404,12758162,14611566,100000000,7.88364,7.83812,7.84389,9,9999648516236764,494501976,0,0,494501976,494501976,30906373,0,0,30906373,30906373,,,,,
data/step10043.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,200000000,10,10,10,0,insertIfAbsent,33,57142333,42857668,100000001,100000000,1.75002,2.3333,2,26.132,9999513036515360,62888711,0,0,62888711,62888711,3930544,0,0,3930544,3930544,,,,,
data/step10044.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,200000000,20,20,20,0,insertIfAbsent,33,57143593,42856408,100000001,100000000,1.74998,2.33337,2,26.1305,10000145287998705,119208793,0,0,119208793,119208793,7450549,0,0,7450549,7450549,,,,,
data/step10045.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,200000000,40,40,40,0,insertIfAbsent,33,57142148,42857853,100000001,100000000,1.75002,2.33329,2,26.0545,9999018849859249,227409265,0,0,227409265,227409265,14213079,0,0,14213079,14213079,,,,,
data/step10046.txt,ellen_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,200000000,10,10,10,0,insertIfAbsent,73,100000001,100000002,200000003,100000000,2,1,1.5,37.6401,9999662075362297,44558308,0,0,44558308,44558308,2784894,0,0,2784894,2784894,,,,,
data/step10047.txt,ellen_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,16000,0,0,0,1,200000000,20,20,20,0,insertIfAbsent,76,100000001,100000002,200000003,100000000,2,1,1.5,38.5999,10000098316144893,86222097,0,0,86222097,86222097,5388881,0,0,5388881,5388881,,,,,
